Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1975","1975","3050","FAO TIER 1","mil toneladas","106.434","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1976","1976","3050","FAO TIER 1","mil toneladas","2.765","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1976","1976","3050","FAO TIER 1","mil toneladas","111.69","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1977","1977","3050","FAO TIER 1","mil toneladas","2.8247","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1977","1977","3050","FAO TIER 1","mil toneladas","114.099","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1978","1978","3050","FAO TIER 1","mil toneladas","2.8554","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1978","1978","3050","FAO TIER 1","mil toneladas","115.34","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1979","1979","3050","FAO TIER 1","mil toneladas","2.8735","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1979","1979","3050","FAO TIER 1","mil toneladas","116.07","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1980","1980","3050","FAO TIER 1","mil toneladas","3.009","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1980","1980","3050","FAO TIER 1","mil toneladas","121.545","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1981","1981","3050","FAO TIER 1","mil toneladas","3.1265","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1981","1981","3050","FAO TIER 1","mil toneladas","126.29","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1982","1982","3050","FAO TIER 1","mil toneladas","3.2132","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1982","1982","3050","FAO TIER 1","mil toneladas","129.794","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1983","1983","3050","FAO TIER 1","mil toneladas","3.3289","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1983","1983","3050","FAO TIER 1","mil toneladas","134.466","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1984","1984","3050","FAO TIER 1","mil toneladas","3.3036","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1984","1984","3050","FAO TIER 1","mil toneladas","133.444","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1985","1985","3050","FAO TIER 1","mil toneladas","3.4156","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1985","1985","3050","FAO TIER 1","mil toneladas","137.97","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1986","1986","3050","FAO TIER 1","mil toneladas","3.5024","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1986","1986","3050","FAO TIER 1","mil toneladas","141.474","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1987","1987","3050","FAO TIER 1","mil toneladas","3.3777","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1987","1987","3050","FAO TIER 1","mil toneladas","136.437","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1988","1988","3050","FAO TIER 1","mil toneladas","3.3885","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1988","1988","3050","FAO TIER 1","mil toneladas","136.875","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1989","1989","3050","FAO TIER 1","mil toneladas","3.5873","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1989","1989","3050","FAO TIER 1","mil toneladas","144.905","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F0960","Vacas lecheras","1990","1990","3050","FAO TIER 1","mil toneladas","3.4753","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F0960","Vacas lecheras","1990","1990","3050","FAO TIER 1","mil toneladas","140.379","E","Valor estimado",""
